I Träger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IPE,,,,,,,,,,,,,,,,,,,Knicklinie,,,,,,,,,,,
,h,b,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",Y-y,Z-z,,,,,,,,,,Berechnung Abminderungsfaktor ?
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
IPE 80,80,46,"3,8","5,2",5,60,"7,64",6,0.328,11.6,"80,1",20,3.24,"8,49","3,69","1,05","5,3","179,5","38,6",a,b,,,,,,,,,,
IPE 100,100,55,"4,1","5,7",7,75,"10,3","8,1",0.4,19.7,171,"34,2",4.07,"15,9","5,79","1,24","8,8","242,1","52,5",a,b,,,,,,,,,,?
IPE 120,120,64,"4,4","6,3",7,93,"13,2","10,4",0.475,30.4,318,53,4.9,"27,7","8,65","1,45","13,8","310,2","67,9",a,b,,,,,,,,,,
IPE 140,140,73,"4,7","6,9",7,112,"16,4","12,9",0.551,44.2,541,"77,3",5.74,"44,9","12,3","1,68","20,2","385,4","84,9",a,b,,,,,Berechnung Abminderungsfaktor ? Tabelle ?,,,,,
IPE 160,160,82,5,"7,4",9,127,"20,1","15,8",0.623,61.9,869,109,6.58,"68,3","16,7","1,84",28,"472,4","103,5",a,b,,,,,,,,,,
IPE 180,180,91,"5,3",8,9,146,"23,9","18,8",0.698,83.2,1320,146,7.42,101,"22,2","2,05","37,8","561,7","123,7",a,b,,,,,ao,a,b,c,d,
IPE 200,200,100,"5,6","8,5",12,159,"28,5","22,4",0.768,110,1940,194,8.26,142,"28,5","2,24","49,3","669,8","145,5",a,b,,,,,"0,13","0,21","0,34","0,49","0,76",
IPE 220,220,110,"5,9","9,2",12,178,"33,4","26,2",0.848,143,2770,252,9.11,205,"37,3","2,48","64,2","784,9","168,8",a,b,,,,,,,,,,
IPE 240,240,120,"6,2","9,8",15,190,"39,1","30,7",0.922,183,3890,324,9.97,284,"47,3","2,69","81,3","918,9","193,7",a,b,,,,,,,,,,
IPE 270,270,135,"6,6","10,2",15,220,"45,9","36,1",1.04,242,5790,429,11.2,420,"62,2","3,02","108,2","1078,7","232,7",a,b,,,,,Datenbank für Druckstab,,,,,
IPE 300,300,150,"7,1","10,7",15,249,"53,8","42,2",1.16,314,8360,557,12.5,604,"80,5","3,35","141,5","1264,3","278,7",a,b,,,,,Stahlgüte,S 235,S 275,S 355,,
IPE 330,330,160,"7,5","11,5",18,271,"62,6","49,1",1.25,402,11770,713,13.7,788,"98,5","3,55","179,2","1471,1","324,1",a,b,,,,,[kN/cm²],"23,5","27,5","35,5",,
IPE 360,360,170,8,"12,7",18,299,"72,7","57,1",1.35,510,16270,904,15.00,1040,123,"3,79","228,8","1708,5",377,a,b,,,,,?1,"93,9","86,8","76,4",,
IPE 400,400,180,"8,6","13,5",21,331,"84,5","66,3",1.47,654,23130,1160,16.5,1320,146,"3,95",291,"1985,8",451,a,b,,,,,,,,,,
IPE 450,450,190,"9,4","14,6",21,379,"98,8","77,6",1.61,851,33740,1500,18.5,1680,176,"4,12","381,6","2321,8","555,3",a,b,,,,,,,,,,
IPE 500,500,200,"10,2",16,21,426,116,"90,7",1.74,1100,48200,1930,20.4,2140,214,"4,31","495,2",2726,"669,9",a,b,,,,,,,,,,
IPE 550,550,210,"11,1","17,2",24,468,134,106,1.88,1390,67120,2440,22.3,2670,254,"4,45","625,6",3149,"802,5",a,b,,,,,,,,,,
IPE 600,600,220,12,19,24,514,156,122,2.01,1760,92080,3070,24.3,3390,308,"4,66","793,4",3666,946,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
